name	scientific	link	url	family	family-common	color	type	image	location																						
Telescoping Mustard	Thelypodium integrifolium	thelypodium-integrifolium	mojave-plants-perennials/thelypodium-integrifolium.html	Brassicaceae	Mustard	white	Perennial	images/mojave-plants-thumbnails/thelypodium-integrifolium-t.jpg																							
Mullein	Verbascum thapsus	verbascum-thapsus	mojave-plants-weeds/verbascum-thapsus.html	Scrophulariaceae	Figwort	yellow	Weed	images/mojave-plants-thumbnails/verbascum-thapsus-t.jpg																							
Lineleaf Whitepuff	Oligomeris linifolia	oligomeris-linifolia	mojave-plants-weeds/oligomeris-linifolia.html	Resedaceae	Dicots	white	Weed	images/mojave-plants-thumbnails/oligomeris-linifolia-t.jpg																							
Palmers Penstemon	Penstemon palmeri	penstemon-palmeri	mojave-plants-perennials/penstemon-palmeri.html	Plantaginaceae	Plantain	"purple, white"	Perennial	images/mojave-plants-thumbnails/penstemon-palmeri-t.jpg																							
Firecracker Penstemon	Penstemon eatonii	penstemon-eatonii	mojave-plants-perennials/penstemon-eatonii.html	Plantaginaceae	Plantain	red	Perennial	images/mojave-plants-thumbnails/penstemon-eatonii-t.jpg																							
Mojave Woodyaster	Xylorhiza tortifolia	xylorhiza-tortifolia	mojave-plants-shrubs/xylorhiza-tortifolia.html	Asteraceae	Sunflower	purple	Shrub	images/mojave-plants-thumbnails/xylorhiza-tortifolia-t.jpg																							
Silverleaf Nightshade	Solanum elaeagnifolium	solanum-elaeagnifolium	mojave-plants-weeds/solanum-elaeagnifolium.html	Solanaceae	Nightshades	"purple, yellow"	Weed	images/mojave-plants-thumbnails/solanum-elaeagnifolium-t.jpg																							
Desert Chicory	Rafinesquia neomexicana	rafinesquia-neomexicana	mojave-plants-annuals/rafinesquia-neomexicana.html	Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/rafinesquia-neomexicana-t.jpg																							
Paperbag Bush	Scutellaria mexicana	scutellaria-mexicana	mojave-plants-shrubs/scutellaria-mexicana.html	Lamiaceae	Mint/Sage	"purple, white"	Shrub	images/mojave-plants-thumbnails/scutellaria-mexicana-t.jpg																							
Stansbury Cliffrose	Purshia stansburiana	purshia-stansburiana	mojave-plants-shrubs/purshia-stansburiana.html	Rosaceae	Rose	yellow	Shrub	images/mojave-plants-thumbnails/purshia-stansburiana-t.jpg																							
