name	scientific	url	family	family-common	color	type	image	location											
Broad-leaved Dock	Rumex obtusifolius	mojave-plants-weeds/rumex-obtusifolius.html	Polygonaceae	Buckwheat	red	Weed	images/mojave-plants-thumbnails/rumex-obtusifolius-t.jpg												
Russian Prickley Thistle	Salsola tragus	mojave-plants-weeds/salsola-tragus.html	Amaranthaceae	Amaranth	pink, white	Weed	images/mojave-plants-thumbnails/salsola-tragus-t.jpg												
Dorr's Sage	Salvia dorrii	mojave-plants-shrubs/salvia-dorrii.html	Lamiaceae	Sage	"blue, purple"	Shrub	images/mojave-plants-thumbnails/salvia-dorrii-t.jpg	oc											
Desert Senna	Senna covesii	mojave-plants-perennials/senna-covesii.html	Fabaceae	Pea	yellow	Perennial	images/mojave-plants-thumbnails/senna-covesii-t.jpg												
Rocky Mountain Goldenrod	Solidago multiradiata	mojave-plants-perennials/solidago-multiradiata.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/solidago-multiradiata-t.jpg												
Desert Princes’ Plume	Stanleya pinnata	mojave-plants-perennials/stanleya-pinnata.html	Brassicaceae	Mustard	yellow	Perennial	images/mojave-plants-thumbnails/stanleya-pinnata-t.jpg												
Telescoping Mustard	Thelypodium integrifolium	mojave-plants-perennials/thelypodium-integrifolium.html	Brassicaceae	Mustard	white	Perennial	images/mojave-plants-thumbnails/thelypodium-integrifolium-t.jpg												
Mullein	Verbascum thapsus	mojave-plants-weeds/verbascum-thapsus.html	Scrophulariaceae	Figwort	yellow	Weed	images/mojave-plants-thumbnails/verbascum-thapsus-t.jpg												
Lineleaf Whitepuff	Oligomeris linifoli	mojave-plants-weeds/oligomeris-linifolia.html	Resedaceae	Dicots	white	Weed	images/mojave-plants-thumbnails/oligomeris-linifolia-t.jpg												
Palmers Penstemon	Penstemon palmeri	mojave-plants-perennials/penstemon-palmeri.html	Plantaginaceae	Plantain	purple, white	Perennial	images/mojave-plants-thumbnails/penstemon-palmeri-t.jpg												
Firecracker Penstemon	Penstemon eatonii	mojave-plants-perennials/penstemon-eatonii.html	Plantaginaceae	Plantain	red	Perennial	images/mojave-plants-thumbnails/penstemon-eatonii-t.jpg												
Mojave Woodyaster	Xylorhiza tortifolia	mojave-plants-shrubs/xylorhiza-tortifolia.html	Asteraceae	Sunflower	purple	Shrub	images/mojave-plants-thumbnails/xylorhiza-tortifolia-t.jpg												
Silverleaf Nightshade	Solanum elaeagnifolium	mojave-plants-weeds/solanum-elaeagnifolium.html	Solanaceae	Nightshades	purple, yellow	Weed	images/mojave-plants-thumbnails/solanum-elaeagnifolium-t.jpg												
Desert Chicory	Rafinesquia neomexicana	mojave-plants-annuals/rafinesquia-neomexicana.html	Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/rafinesquia-neomexicana-t.jpg												
Paperbag Bush	Scutellaria mexicana	mojave-plants-shrubs/scutellaria-mexicana.html	Lamiaceae	Mint/Sage	purple, white	Shrub	images/mojave-plants-thumbnails/scutellaria-mexicana-t.jpg												
Stansbury Cliffrose	Purshia stansburiana	mojave-plants-shrubs/purshia-stansburiana.html	Rosaceae	Rose	yellow	Shrub	images/mojave-plants-thumbnails/purshia-stansburiana-t.jpg												
Cooper’s Paper Daisy	Psilostrophe cooperi	mojave-plants-shrubs/psilostrophe-cooperi.html	Asteraceae	Sunflower	yellow	Shrub	images/mojave-plants-thumbnails/psilostrophe-cooperi-t.jpg												
Schott’s Pygmy Cedar	Peucephyllum schottii	mojave-plants-shrubs/peucephyllum-schottii.html	Asteraceae	Sunflower	yellow	Shrub	images/mojave-plants-thumbnails/peucephyllum-schottii-t.jpg												
Cinchweed	Pectis papposa	mojave-plants-annuals/pectis-papposa.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/pectis-papposa-t.jpg												
Redstem Stork's Bill	Erodium cicutarium	mojave-plants-weeds/erodium-cicutarium.html	Geraniaceae	Geranium	pink	Weed	images/mojave-plants-thumbnails/erodium-cicutarium-t.jpg												
Skeletonweed	Eriogonum deflexum	mojave-plants-annuals/eriogonum-deflexum.html	Polygonaceae	Buckwheat	pink	Annual	images/mojave-plants-thumbnails/eriogonum-deflexum-t.jpg												
Green Mormon Tea	Ephedra viridis	mojave-plants-shrubs/ephedra-viridis.html	Ephedraceae	Ephedra	yellow	Shrub	images/mojave-plants-thumbnails/ephedra-viridis-t.jpg												
Silverleaf Sunray	Enceliopsis argophylla	mojave-plants-perennials/enceliopsis-argophylla.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/enceliopsis-argophylla-t.jpg												
Utah serviceberry	Amelanchier utahensis	mojave-plants-shrubs/amelanchier-utahensis.html	 Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/amelanchier-utahensis-t.jpg
Buffalo Gourd	Cucurbita foetidissima	mojave-plants-perennials/cucurbita-foetidissima.html	 Cucurbitaceae	Cucumber	yellow	Perennial	images/mojave-plants-thumbnails/cucurbita-foetidissima-t.jpg
Coyote Melon	Cucurbita palmata	mojave-plants-perennials/cucurbita-palmata.html	 Cucurbitaceae	Cucumber	yellow	Perennial	images/mojave-plants-thumbnails/cucurbita-palmata-t.jpg
Bearded Cryptantha	Cryptantha barbigera	mojave-plants-annuals/cryptantha-barbigera.html	 Boraginaceae	Forget-me-not	white	Annual	images/mojave-plants-thumbnails/cryptantha-barbigera-t.jpg
Bastard Toadflax	Comandra umbellata	mojave-plants-shrubs/comandra-umbellata.html	 Santalaceae	Mistletoe	white, yellow	Shrub	images/mojave-plants-thumbnails/comandra-umbellata-t.jpg		
Quail Brush	Atriplex lentiformis	mojave-plants-shrubs/atriplex-lentiformis.html	 Amaranthaceae	Amaranth	pink, yellow, green	Shrub	images/mojave-plants-thumbnails/atriplex-lentiformis-t.jpg			
Four-wing Saltbush	Atriplex canescens	mojave-plants-shrubs/atriplex-canescens.html	 Amaranthaceae	Amaranth	pink, yellow, green	Shrub	images/mojave-plants-thumbnails/atriplex-canescens-t.jpg			
Rabbitsfoot Grass	Polypogon monspeliensis	mojave-plants-grasses/polypogon-monspeliensis.html	 Poaceae	Grasses	grass	Grass	images/mojave-plants-thumbnails/polypogon-monspeliensis-t.jpg			
Great Basin Wild Rye	Leymus cinereus	mojave-plants-grasses/leymus-cinereus.html	 Poaceae	Grasses	grass	Grass	images/mojave-plants-thumbnails/leymus-cinereus-t.jpg			
Saltgrass	Distichlis spicata	mojave-plants-grasses/distichlis-spicata.html	 Poaceae	Grasses	grass	Grass	images/mojave-plants-thumbnails/distichlis-spicata-t.jpg			
Shadscale	Atriplex confertifolia	mojave-plants-shrubs/atriplex-confertifolia.html	 Amaranthaceae	Amaranth	pink, yellow, green	Shrub	images/mojave-plants-thumbnails/atriplex-confertifolia-t.jpg			
Desert Holly	Atriplex hymenelytra	mojave-plants-shrubs/atriplex-hymenelytra.html	 Amaranthaceae	Amaranth	green	Shrub	images/mojave-plants-thumbnails/atriplex-hymenelytra-t.jpg			
Cattle Saltbush	Atriplex polycarpa	mojave-plants-shrubs/atriplex-polycarpa.html	 Amaranthaceae	Amaranth	green	Shrub	images/mojave-plants-thumbnails/atriplex-polycarpa-t.jpg			
Wooly Bluestar	Amsonia tomentosa	mojave-plants-perennials/amsonia-tomentosa.html	 Apocynaceae	Dogbane	white, purple, blue	Perennial	images/mojave-plants-thumbnails/amsonia-tomentosa-t.jpg			
London Rocket	Sisymbrium irio	mojave-plants-weeds/sisymbrium-irio.html	 Brassicaceae	Mustard	yellow	Weed	images/mojave-plants-thumbnails/sisymbrium-irio-t.jpg			
Trailing Windmills	Allionia incarnata	mojave-plants-perennials/allionia-incarnata.html	 Nyctaginaceae	Four O’clock	purple	Perennial	images/mojave-plants-thumbnails/allionia-incarnata-t.jpg			
Desert Pepperweed	Lepidium fremontii	mojave-plants-shrubs/lepidium-fremontii.html	 Brassicaceae	Mustard	white	Perennial	images/mojave-plants-thumbnails/lepidium-fremontii-t.jpg			
Bigelow's Desert 4 O'clock	Mirabilis laevis var. villosa	mojave-plants-shrubs/mirabilis-laevis.html	 Nyctaginaceae	4 O'clock	white	Perennial	images/mojave-plants-thumbnails/mirabilis-laevis-t.jpg			
Arizona Ash	Fraxinus velutina	mojave-plants-trees/fraxinus-velutina.html	 Oleaceae	Olive	yellow	Tree	images/mojave-plants-thumbnails/fraxinus-velutina-t.jpg			
Lilac Sunbonnets	Langloisia setosissima sub. setosissima	mojave-plants-annuals/langloisia-setosissima.html	 Polemoniaceae	Phlox	purple	Annual	images/mojave-plants-thumbnails/langloisia-setosissima-t.jpg			
Anderson Boxthorn	Lycium andersonii	mojave-plants-shrubs/lycium-andersonii.html	 Solanaceae	Nightshade	purple	Shrub	images/mojave-plants-thumbnails/lycium-andersonii-t.jpg			
Desert Lilly	Hesperocallis undulata	mojave-plants-perennials/hesperocallis-undulata.html	 Asparagaceae	Asparagus	white	Perennial	images/mojave-plants-thumbnails/hesperocallis-undulata-t.jpg			
Notch-leaved Phacelia	Phacelia crenulata	mojave-plants-annuals/phacelia-crenulata.html	 Polemoniaceae	Phlox	purple	Annual	images/mojave-plants-thumbnails/phacelia-crenulata-t.jpg			
Woolly Desert Marigold	Baileya pleniradiata	mojave-plants-perennials/baileya-pleniradiata.html	 Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/baileya-pleniradiata-t.jpg			
Apricot Globe-mallow	Sphaeralcea ambigua	mojave-plants-perennials/sphaeralcea-ambigua.html	 Malvaceae	Mallow	orange	Perennial	images/mojave-plants-thumbnails/sphaeralcea-ambigua-t.jpg			
Lacy Phacelia	Phacelia tanacetifolia	mojave-plants-annuals/phacelia-tanacetifolia.html	 Polemoniaceae	Phlox	purple	Annual	images/mojave-plants-thumbnails/phacelia-tanacetifolia-t.jpg			
Beavertail Cactus	Opuntia basilaris	mojave-plants-cactus/opuntia-basilaris.html	 Cactaceae	Cactus	purple	Cactus	images/mojave-plants-thumbnails/opuntia-basilaris-t.jpg			
Mojave Suncup	Chylismia brevipes	mojave-plants-annuals/chylismia-brevipes.html	 Onagraceae	Evening Primrose	yellow	Annual	images/mojave-plants-thumbnails/chylismia-brevipes-t.jpg			
Narrowleaf Cryptocantha	Johnstonella angustifolia	mojave-plants-annuals/johnstonella-angustifolia.html	 Boraginaceae	Forget-Me-Not	yellow	Annual	images/mojave-plants-thumbnails/johnstonella-angustifolia-t.jpg			
Field Bindweed	Convolvulus arvensis	mojave-plants-weeds/convolvulus-arvensis.html	 Convolvulaceae	Morning Glory	white	Weed	images/mojave-plants-thumbnails/convolvulus-arvensis-t.jpg			
Fremont Indigo-bush	Psorothamnus fremontii	mojave-plants-shrubs/psorothamnus-fremontii.html	 Fabaceae	Pea	blue, purple	Shrub	images/mojave-plants-thumbnails/psorothamnus-fremontii-t.jpg			
Iodinebush	Allenrolfea occidentalis	mojave-plants-shrubs/allenrolfea-occidentalis.html	 Chenopodiaceae	Goosefoot	yellow	Shrub	images/mojave-plants-thumbnails/allenrolfea-occidentalis-t.jpg			
Purplemat	Nama demissum	mojave-plants-annuals/nama-demissum.html	 Boraginaceae	Forget-Me-Not	purple	Annual	images/mojave-plants-thumbnails/nama-demissum-t.jpg			
Bigelow's Monkeyflower	Diplacus bigelovii	mojave-plants-annuals/diplacus-bigelovii.html	 Phrymaceae	Lopseed	purple	Annual	images/mojave-plants-thumbnails/diplacus-bigelovii-t.jpg			
Parry's Wild Buckwheat	Eriogonum brachypodum	mojave-plants-annuals/eriogonum-brachypodum.html	 Polygonaceae	Buckwheat	white	Annual	images/mojave-plants-thumbnails/eriogonum-brachypodum-t.jpg			
Bristly Fiddleneck	Amsinckia tessellata	mojave-plants-annuals/amsinckia-tessellata.html	 Boraginaceae	Borage	yellow	Annual	images/mojave-plants-thumbnails/amsinckia-tessellata-t.jpg			
Desert Pincushion	Chaenactis stevioides	mojave-plants-annuals/chaenactis-stevioides.html	 Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/chaenactis-stevioides-t.jpg			
California Poppy	Eschscholzia californica	mojave-plants-annuals/eschscholzia-californica.html	 Papaveraceae	Poppy	orange	Annual	images/mojave-plants-thumbnails/eschscholzia-californica-t.jpg			
Fendler's Meadow-rue	Thalictrum fendleri	mojave-plants-perennials/thalictrum-fendleri.html	 Ranunculaceae	Buttercup	white, yellow	Perennial	images/mojave-plants-thumbnails/thalictrum-fendleri-t.jpg			
Woolly Plantain	Plantago ovata	mojave-plants-weeds/plantago-ovata.html	 Plantaginaceae	Plantain	white	Weed	images/mojave-plants-thumbnails/plantago-ovata-t.jpg			
Thompson's Beardtongue	Penstemon thompsoniae	mojave-plants-shrubs/penstemon-thompsoniae.html	 Plantaginaceae	Plantain	purple	Shrub	images/mojave-plants-thumbnails/penstemon-thompsoniae-t.jpg			
Devil's Spineflower	Chorizanthe rigida	mojave-plants-annuals/chorizanthe-rigida.html	 Polygonaceae	Buckwheat	yellow	Annual	images/mojave-plants-thumbnails/chorizanthe-rigida-t.jpg			
Desert Trumpet	Eriogonum inflatum	mojave-plants-perennials/eriogonum-inflatum.html	 Polygonaceae	Buckwheat	yellow	Perennial	images/mojave-plants-thumbnails/eriogonum-inflatum-t.jpg			
