name	scientific	url	family	family-common	color	type	image	location											
Engelmann's Hedgehog Cactus	Echinocereus engelmannii	mojave-plants-cactus/echinocereus-engelmannii.html	Cactaceae	Cactus	red pink	Cactus	images/mojave-plants-thumbnails/echinocereus-engelmannii-t.jpg	oc											
Whitemargin Sandmat	Euphorbia albomarginata	mojave-plants-perennials/euphorbia-albomarginata.html	Euphorbiaceae	Spurge	white red	Perennial	images/mojave-plants-thumbnails/euphorbia-albomarginata-t.jpg	oc											
Desert Almond	Prunus fasciculata	mojave-plants-shrub/prunus-fasciculata.html	Rosaceae	Rose	white	Shrubs	images/mojave-plants-thumbnails/prunus-fasciculata-t.jpg	oc											
Dorr's Sage	Salvia dorrii	mojave-plants-shrub/salvia-dorrii.html	Lamiaceae	Sage	"blue, purple"	Shrubs	images/mojave-plants-thumbnails/salvia-dorrii-t.jpg	oc											
Narrow Leaved Yerba Santa	Eriodictyon angustifolium	mojave-plants-shrub/eriodictyon-angustifolium.html	Namaceae	Nama	white	Shrubs	images/mojave-plants-thumbnails/eriodictyon-angustifolium-t.jpg	oc											
California Barrel Cactus	Ferocactus cylindraceus	mojave-plants-cactus/ferocactus-cylindraceus.html	Cactaceae	Cactus	"yellow, green"	Cactus	images/mojave-plants-thumbnails/ferocactus-cylindraceus-t.jpg	oc											
Velvet Lupine	Lupinus leucophyllus	mojave-plants-perennial /lupinus-leucophyllus.html	Fabaceae	Pea	purple	Perennial	images/mojave-plants-thumbnails/lupinus-leucophyllus-t.jpg	oc											
Virgin River Brittlebush 	Encelia virginensis	mojave-plants-perennial/encelia-virginensis.html	Asteraceae	Sunflower 	yellow	Perennial	images/mojave-plants-thumbnails/encelia-virginensis-t.jpg	oc											
Spiny Mendora	Mendora spinescens 	mojave-plants-perennia/mendora-spinescens.html	Oleaceae 	Olive	white	Shrubs	images/mojave-plants-thumbnails/mendora-spinescens-t.jpg	oc											
Colorado Four O’clock	Mirabilis multiflora	mojave-plants-perennial/mirabilis-multiflora.html	Nyctaginaceae	Four O’clock	violet	Perennial	images/mojave-plants-thumbnails/mirabilis-multiflora-t.jpg	oc											
Canaigre Dock	Rumex hymenosepalus	mojave-plants-perennial/rumex-hymenosepalus.html	Buckwheat	Polygonaceae	"pink, green"	Perennial	images/mojave-plants-thumbnails/rumex-hymenosepalus-t.jpg	oc											
Nevada Jointfir	Ephedra nevadensis	mojave-plants-perennial/ephedra-nevadensis.html	Ephedraceae	Ephedra	yellow	Shrubs	images/mojave-plants-thumbnails/ephedra-nevadensis-t.jpg												
