name	scientific	url	family	family-common	color	type	image	location											
Mullein	Verbascum thapsus	mojave-plants-perennials/verbascum-thapsus.html	Scrophulariaceae	Figwort	yellow	Perennial	images/mojave-plants-thumbnails/verbascum-thapsus-t.jpg												
Broad-leaved Dock	Rumex obtusifolius	mojave-plants-perennials/rumex-obtusifolius.html	Polygonaceae	Knotweed	red	Perennial	images/mojave-plants-thumbnails/rumex-obtusifolius-t.jpg												
Castor Bean Plant	Ricinus communis	mojave-plants-shrubs/ricinus-communis.html	Euphorbiaceae	Spurge	"red, yellow"	Shrub	images/mojave-plants-thumbnails/ricinus-communis-t.jpg												
Tall Whitetop	Lepidium latifolium	mojave-plants-weed/lepidium-latifolium.html	Brassicaceae	Mustard	white	Weed	images/mojave-plants-thumbnails/lepidium-latifolium-t.jpg												
Tree Tobacco	Nicotiana glauca	mojave-plants-perennials/nicotiana-glauca.html	Solanaceae	Nightshades	yellow	Perennial	images/mojave-plants-thumbnails/nicotiana-glauca-t.jpg												
Russian Prickley Thistle	Salsola tragus	mojave-plants-annuals/salsola-tragus.html	Amaranthaceae	Amaranth	pink, white	Annual	images/mojave-plants-thumbnails/kali-tragus-t.jpg												
Rough Paintbrush 	Castilleja scabrida	mojave-plants-perennials/castilleja-scabrida.html	Orobanchaceae	Broomrape	yellow green	Perennial	images/mojave-plants-thumbnails/castilleja-scabrida-t.jpg	oc											
Winterfat	Krascheninnikovia lanata	mojave-plants-shrubs/krascheninnikovia-lanata.html	Amaranthaceae	Amaranth	white	Perennial	images/mojave-plants-thumbnails/krascheninnikovia-lanata-t.jpg	oc											
Desert Paintbrush	Castilleja chromosa	mojave-plants-shrubs/castilleja-chromosa.html	Orobanchaceae	Broomrape	yellow green	Shrub	images/mojave-plants-thumbnails/castilleja-chromosa-t.jpg	oc											
Blackbrush	Coleogyne ramosissima	mojave-plants-shrubs/coleogyne-ramosissima.html	Roseacea	Rose	yellow	Shrub	images/mojave-plants-thumbnails/coleogyne-ramosissima-t.jpg	oc											
Engelmann's Hedgehog Cactus	Echinocereus engelmannii	mojave-plants-cactus/echinocereus-engelmannii.html	Cactaceae	Cactus	red pink	Cactus	images/mojave-plants-thumbnails/echinocereus-engelmannii-t.jpg	oc											
Whitemargin Sandmat	Chamaesyce albomarginata	mojave-plants-perennials/chamaesyce-albomarginata.html	Euphorbiaceae	Spurge	white red	Perennial	images/mojave-plants-thumbnails/euphorbia-albomarginata-t.jpg	oc											
Desert Almond	Prunus fasciculata	mojave-plants-shrubs/prunus-fasciculata.html	Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/prunus-fasciculata-t.jpg	oc											
